№,F,A
1,10.1,2.601
2,10.4,2.787
3,10.7,2.801
4,11.3,2.884
5,11.9,2.924
6,12.2,3.266
7,12.5,3.420
8,12.9,3.459
9,13.2,3.492
10,13.5,3.458
11,13.7,3.550
12,14.0,3.769
13,14.2,3.861
14,14.3,4.200
15,14.5,4.222
16,14.7,4.256
17,14.8,4.233
18,14.9,4.405
19,15.0,4.221
20,15.1,4.309
21,15.2,4.266
22,15.3,4.314
23,4.7,0.2
24,4.8,0.2
25,4.9,0.279
26,5.1,0.703
27,5.2,0.833
28,5.3,0.758
29,5.4,0.626
30,5.5,0.632
31,5.8,0.623
32,5.9,0.653
33,6.1,0.684
34,6.4,0.692
35,6.7,0.742
36,7.0,0.829
37,7.2,1.6
38,7.6,1.308
39,7.8,1.486
40,8.0,1.794
41,8.3,1.979
42,8.4,2.106
43,8.7,2.290
44,9.2,2.450
45,9.6,2.465
46,9.7,6.176
47,9.5,6.232
48,9.4,6.269
49,9.3,6.247
50,9.0,6.263
51,8.9,6.246
52,8.6,6.325
53,8.4,6.424
54,8.1,6.531
55,7.8,6.921
56,7.7,7.11
57,7.4,7.199
58,7.1,7.128
59,7.0,7.223
60,6.8,6.936
61,6.6,7.56
62,6.4,6.876
63,6.2,6.817
64,5.9,6.760
65,5.7,6.980
66,5.3,7.63
67,5.1,6.782
68,4.8,6.221
69,4.6,5.583
70,4.4,4.902
71,4.2,4.242
72,4.1,3.902
73,3.9,3.469
74,3.8,3.471
75,3.7,3.364
76,3.6,3.356
77,3.5,3.419
78,3.4,3.495
79,3.3,3.100
80,3.2,2.921
81,3.1,2.862
82,3.0,3.197
83,2.9,3.146
84,2.8,2.982
85,14.7,4.498
86,14.6,4.368
87,14.5,5.510
88,14.4,4.913
89,14.3,5.930
90,14.2,5.959
91,14.0,6.152
92,13.7,6.212
93,13.5,6.176
94,13.1,6.56
95,12.7,6.22
96,12.4,5.957
97,11.9,6.8
98,11.4,6.16
99,10.9,6.14
100,10.4,6.115
101,10.1,6.181
